2011 super output area - lower layer,mnemonic,All categories: Accommodation type,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In commercial building",Unshared dwelling: Caravan or other mobile or temporary structure
Southwark 019E,E01004014,710,4,5,27,639,6,1,0
Southwark 020A,E01003911,742,5,17,58,490,160,0,1
Southwark 020B,E01003916,830,16,43,200,456,94,13,2
Southwark 020C,E01003917,787,13,37,155,490,89,1,0
Southwark 020D,E01003918,653,6,10,13,586,24,2,1
Southwark 020E,E01003925,527,9,19,57,414,21,1,0
Southwark 021A,E01003919,702,17,33,132,367,137,7,0
Southwark 021B,E01003920,766,0,7,21,706,15,1,0
Southwark 021C,E01003921,673,6,4,5,537,52,53,0
Southwark 021D,E01003922,821,12,10,30,626,106,25,0
Southwark 021E,E01003924,802,5,6,6,732,26,7,0
Southwark 021F,E01003926,540,1,28,22,436,29,13,0
Southwark 022B,E01004008,808,13,29,110,591,43,5,1
Southwark 022D,E01004010,601,24,58,123,334,28,20,2
Southwark 022E,E01004067,831,11,37,108,581,40,35,2
Southwark 022F,E01032805,940,44,87,296,312,177,7,1
Southwark 023A,E01003984,856,28,56,184,308,257,7,3
Southwark 023B,E01004003,755,21,32,158,505,29,5,1
Southwark 023C,E01004004,1069,17,60,241,523,208,3,2
Southwark 023D,E01004005,882,34,55,107,582,91,3,0
Southwark 023E,E01004006,772,27,66,333,196,143,2,2
Southwark 024A,E01003913,800,25,70,190,336,121,38,0
Southwark 024B,E01003914,722,18,33,265,136,253,5,0
Southwark 024C,E01003915,811,8,34,115,449,191,2,0
Southwark 024D,E01004050,652,30,91,60,247,209,4,1
Southwark 024E,E01004052,798,13,49,252,146,318,20,0
Southwark 025A,E01004061,772,23,108,235,152,235,12,0
Southwark 025B,E01004062,830,31,44,168,421,108,53,0
Southwark 025C,E01004063,847,27,113,349,205,120,31,0
Southwark 025D,E01004065,625,13,43,269,71,215,10,0
Southwark 025E,E01004066,844,25,61,121,438,177,6,0
Southwark 026A,E01004000,839,31,56,322,239,176,14,1
Southwark 026B,E01004001,718,34,68,262,290,48,15,1
Southwark 026C,E01004019,912,18,114,201,356,207,1,1
Southwark 026D,E01004064,808,15,52,161,465,101,4,0
Southwark 026E,E01004068,829,30,82,245,420,38,9,0
Southwark 027A,E01004045,601,1,8,20,531,33,0,0
Southwark 027B,E01004047,607,7,32,48,498,16,2,0
Southwark 027C,E01004048,645,18,106,225,266,19,0,0
Southwark 027D,E01004049,507,9,26,22,421,18,0,0
Southwark 027E,E01004051,613,19,78,72,410,29,3,0
Southwark 028A,E01003953,980,30,121,201,201,343,32,0
Southwark 028B,E01003955,822,30,94,315,131,240,12,0
Southwark 028C,E01004015,690,19,81,179,179,222,8,0
Southwark 028D,E01004021,1032,14,113,150,277,462,7,0
Southwark 028E,E01004046,674,16,163,146,53,289,3,0
Southwark 029A,E01004002,639,15,69,336,53,163,1,0
Southwark 029B,E01004016,934,27,122,393,238,144,8,0
Southwark 029C,E01004017,627,33,168,85,140,197,1,0
Southwark 029D,E01004020,730,6,21,84,512,103,0,0
Southwark 030A,E01003952,692,5,84,288,71,163,81,0
Southwark 030B,E01003954,670,11,36,377,39,201,2,0
Southwark 030C,E01003956,720,8,136,287,37,245,7,0
Southwark 030D,E01004071,663,12,104,192,105,244,6,0
Southwark 030E,E01004072,617,14,184,235,15,154,12,0
Southwark 031A,E01004069,497,91,208,95,47,48,2,0
Southwark 031B,E01004070,779,53,201,220,95,183,2,0
Southwark 031C,E01004073,736,39,93,372,36,180,12,0
Southwark 031D,E01004074,631,38,272,135,109,59,18,0
Southwark 031E,E01004075,657,52,307,205,52,25,16,0
Southwark 032A,E01003949,871,31,153,51,391,219,15,0
Southwark 032B,E01003950,798,12,66,64,577,71,2,0
Southwark 032C,E01003957,714,17,134,167,75,317,1,1
Southwark 032D,E01003958,699,14,122,250,119,181,11,0
Southwark 032E,E01004018,780,11,169,244,125,206,20,1
Southwark 033A,E01003945,730,131,41,175,342,33,2,0
Southwark 033B,E01003946,726,131,77,158,335,16,7,0
Southwark 033C,E01003947,612,10,15,38,534,6,9,0
Southwark 033D,E01003948,742,46,67,76,501,52,0,0
Southwark 033E,E01003951,571,143,129,83,175,31,10,0
Southwark 034A,E01003930,458,1,4,61,353,26,9,0
Southwark 034B,E01003932,651,10,8,39,540,43,5,0
Southwark 034C,E01003933,537,22,37,201,119,143,4,1
Southwark 034D,E01032583,644,2,5,11,555,41,25,0
Southwark 034E,E01032584,577,5,3,36,476,41,11,0
Tower Hamlets 001A,E01004222,1048,27,48,182,743,19,26,0
Tower Hamlets 001B,E01004223,938,26,33,188,625,62,4,0
Tower Hamlets 001C,E01004224,806,10,20,96,641,21,18,0
Tower Hamlets 001D,E01004226,676,14,18,92,496,22,28,0
Tower Hamlets 002A,E01004197,964,3,28,77,705,120,31,0
Tower Hamlets 002B,E01004198,606,6,13,54,505,12,9,0
Tower Hamlets 002C,E01004199,574,2,1,15,534,7,5,0
Tower Hamlets 002D,E01004201,619,10,11,113,393,85,3,0
Tower Hamlets 003A,E01004228,769,19,36,349,237,109,19,0
Tower Hamlets 003B,E01004230,803,10,30,174,476,92,16,0
Tower Hamlets 003C,E01004232,603,9,33,312,119,107,14,0
Tower Hamlets 003D,E01004233,751,2,9,17,708,9,3,0
Tower Hamlets 003E,E01004234,903,13,24,338,252,229,40,7
Tower Hamlets 004A,E01004225,1147,3,15,148,841,112,17,0
Tower Hamlets 004C,E01004229,551,6,22,119,346,46,4,0
Tower Hamlets 004D,E01004231,629,2,5,42,547,22,0,0
Tower Hamlets 004E,E01032764,643,13,17,64,512,24,7,0
Tower Hamlets 004F,E01032765,645,5,29,111,486,5,1,0
Tower Hamlets 004G,E01032784,692,4,13,57,599,15,2,0
Tower Hamlets 005A,E01004200,585,5,13,82,370,84,25,0
Tower Hamlets 005B,E01004202,713,5,11,19,605,46,12,0
Tower Hamlets 005C,E01004203,689,4,8,31,576,16,37,0
Tower Hamlets 005D,E01004204,631,9,12,20,570,19,1,0
Tower Hamlets 006A,E01004311,644,5,3,37,572,16,9,0
Tower Hamlets 006B,E01004314,493,2,13,290,127,37,24,0
Tower Hamlets 006C,E01004315,718,4,14,91,553,21,27,0
Tower Hamlets 006D,E01004318,630,2,2,17,539,18,30,0
Tower Hamlets 007A,E01004259,812,6,9,30,713,29,19,0
Tower Hamlets 007B,E01004260,636,0,5,14,589,3,17,0
Tower Hamlets 007C,E01004263,529,17,23,166,272,49,2,0
Tower Hamlets 007D,E01004266,583,8,13,198,337,20,0,0
Tower Hamlets 008A,E01004235,513,1,1,8,492,4,3,0
Tower Hamlets 008B,E01004236,497,14,46,86,334,12,0,0
Tower Hamlets 008C,E01004237,506,6,8,27,454,6,5,0
Tower Hamlets 008D,E01004238,1058,1,5,21,1010,6,2,0
Tower Hamlets 008E,E01004239,533,19,35,119,351,2,6,1
Tower Hamlets 009A,E01004312,628,1,7,34,577,4,2,1
Tower Hamlets 009B,E01004313,812,7,4,37,696,24,32,0
Tower Hamlets 009C,E01004316,455,1,0,12,410,19,7,0
Tower Hamlets 009D,E01004317,1193,16,26,108,858,94,76,0
Tower Hamlets 010A,E01004261,550,6,7,53,437,14,1,1
Tower Hamlets 010B,E01004262,495,11,10,80,336,35,13,1
Tower Hamlets 010C,E01004264,457,4,22,66,353,3,0,0
Tower Hamlets 010E,E01032785,616,1,2,14,584,2,4,1
Tower Hamlets 010F,E01032786,674,4,3,15,606,19,10,1
Tower Hamlets 011A,E01004207,515,13,12,80,321,74,3,0
Tower Hamlets 011B,E01004209,466,1,3,4,440,9,6,0
Tower Hamlets 011D,E01004212,720,6,12,35,610,29,6,0
Tower Hamlets 011F,E01032787,793,8,21,66,653,19,3,0
Tower Hamlets 012A,E01004240,574,3,21,57,478,11,1,1
Tower Hamlets 012B,E01004241,570,3,11,48,492,11,1,2
Tower Hamlets 012C,E01004242,898,9,21,36,789,17,9,4
Tower Hamlets 012D,E01004267,707,15,33,95,436,110,4,7
Tower Hamlets 012E,E01004268,688,2,7,6,641,13,3,1
Tower Hamlets 013A,E01004205,688,11,24,55,572,9,3,0
Tower Hamlets 013B,E01004206,554,3,4,23,501,10,3,0
Tower Hamlets 013C,E01004208,788,7,9,90,585,58,30,0
Tower Hamlets 013D,E01004211,720,7,19,70,481,58,61,1
Tower Hamlets 014A,E01004269,726,7,8,49,610,24,11,0
Tower Hamlets 014B,E01004270,745,9,20,212,432,53,17,0
Tower Hamlets 014C,E01004271,548,4,3,14,515,6,2,0
Tower Hamlets 014D,E01004272,639,2,7,12,602,4,2,1
Tower Hamlets 014E,E01004273,594,14,26,76,448,15,2,1
Tower Hamlets 015A,E01004306,687,11,28,120,406,43,73,0
Tower Hamlets 015B,E01004307,1014,6,3,36,785,93,82,0
Tower Hamlets 015C,E01004308,504,5,29,126,315,17,3,0
Tower Hamlets 015D,E01004309,902,8,23,45,736,29,49,0
Tower Hamlets 015E,E01004310,793,8,16,44,632,39,26,0
Tower Hamlets 016A,E01004283,756,17,21,65,623,15,6,0
Tower Hamlets 016B,E01004287,854,2,6,15,805,5,0,0
Tower Hamlets 016C,E01004289,670,12,18,164,384,72,8,1
Tower Hamlets 016D,E01004290,575,3,22,119,364,33,29,1
Tower Hamlets 017A,E01004322,502,2,6,14,448,18,9,0
Tower Hamlets 017B,E01004323,480,14,22,134,258,40,10,0
Tower Hamlets 017C,E01004324,485,4,15,41,392,13,2,0
Tower Hamlets 017D,E01004326,623,1,2,6,564,14,32,0
Tower Hamlets 018A,E01004245,433,14,20,89,296,12,2,0
Tower Hamlets 018B,E01004246,747,25,32,162,461,49,15,0
Tower Hamlets 018C,E01004248,441,11,14,20,386,4,4,0
Tower Hamlets 018D,E01004249,758,21,18,92,591,34,2,0
Tower Hamlets 019A,E01004284,884,32,42,119,640,21,0,0
Tower Hamlets 019B,E01004285,658,40,59,155,384,9,4,0
Tower Hamlets 019C,E01004286,817,22,56,309,395,15,12,2
Tower Hamlets 019D,E01004288,525,14,13,111,366,17,4,0
Tower Hamlets 020A,E01004243,614,11,21,75,482,6,14,0
Tower Hamlets 020B,E01004244,686,9,22,76,539,18,13,1
Tower Hamlets 020C,E01004247,714,21,13,35,591,21,28,0
Tower Hamlets 020D,E01004250,866,10,21,55,764,4,2,1
Tower Hamlets 021A,E01004319,595,2,17,38,490,32,11,0
Tower Hamlets 021C,E01004321,711,11,23,66,509,67,31,0
Tower Hamlets 021D,E01004325,1033,2,13,53,847,62,48,0
Tower Hamlets 021E,E01032766,601,3,11,26,498,45,17,0
Tower Hamlets 021F,E01032767,767,7,7,18,608,81,46,0
Tower Hamlets 022A,E01004298,635,11,21,48,524,16,6,0
Tower Hamlets 022B,E01004300,522,5,14,29,451,13,1,0
Tower Hamlets 022C,E01004304,653,18,17,45,519,22,12,1
Tower Hamlets 022D,E01004305,699,4,12,45,582,45,6,0
Tower Hamlets 023A,E01004251,779,6,5,53,682,26,2,0
Tower Hamlets 023B,E01004254,1046,3,13,60,927,24,15,0
Tower Hamlets 023C,E01004255,647,8,15,24,572,14,9,0
Tower Hamlets 023D,E01004258,713,2,4,49,639,14,3,0
Tower Hamlets 024A,E01004252,1107,9,8,21,969,50,11,5
Tower Hamlets 024B,E01004253,829,12,28,56,712,9,1,0
Tower Hamlets 024C,E01004256,611,13,30,82,473,5,1,0
Tower Hamlets 024D,E01004257,618,11,11,55,508,20,3,0
Tower Hamlets 025B,E01004301,413,4,10,19,348,30,2,0
Tower Hamlets 025C,E01004302,637,5,9,7,596,7,5,2
Tower Hamlets 025D,E01004303,967,20,15,67,845,17,3,0
Tower Hamlets 025E,E01032768,696,1,3,17,669,4,1,1
Tower Hamlets 025F,E01032769,593,4,12,22,514,22,16,0
Tower Hamlets 026A,E01004292,818,9,46,296,458,7,2,0
Tower Hamlets 026B,E01004294,877,3,4,22,799,34,14,1
Tower Hamlets 026C,E01004295,500,6,15,27,435,5,2,0
Tower Hamlets 026D,E01004296,684,10,15,44,592,10,6,0
Tower Hamlets 027A,E01004291,1051,1,4,15,931,88,10,0
Tower Hamlets 027B,E01004293,1133,1,19,74,982,29,15,13
Tower Hamlets 027C,E01004297,909,13,22,110,711,45,4,0
Tower Hamlets 028A,E01004215,1168,12,33,103,995,8,3,2
Tower Hamlets 028B,E01004219,851,11,3,38,759,26,7,0
Tower Hamlets 028D,E01004221,802,8,34,96,650,12,2,0
Tower Hamlets 028E,E01032776,631,1,3,4,608,2,2,0
Tower Hamlets 028F,E01032777,514,2,3,11,487,6,1,0
Tower Hamlets 028G,E01032778,564,2,6,32,507,4,2,0
Tower Hamlets 028H,E01032779,565,0,1,2,558,0,1,0
Tower Hamlets 028I,E01032780,647,3,8,35,562,7,2,28
Tower Hamlets 030A,E01004214,665,2,4,12,640,3,2,0
Tower Hamlets 030B,E01004216,737,1,6,60,655,12,0,0
Tower Hamlets 030C,E01004217,779,7,104,125,530,10,2,1
Tower Hamlets 030D,E01004218,731,19,68,202,431,11,0,0
Tower Hamlets 031A,E01004274,654,29,55,173,388,6,3,0
Tower Hamlets 031B,E01004275,768,20,80,302,353,5,2,0
Tower Hamlets 031C,E01004276,996,3,15,92,850,31,2,0
Tower Hamlets 031D,E01004281,831,20,60,150,588,13,0,0
Tower Hamlets 031F,E01032775,600,0,3,3,587,0,0,0
Tower Hamlets 031G,E01032783,661,11,26,118,498,7,0,1
Tower Hamlets 032A,E01004280,769,13,42,88,611,6,0,0
Tower Hamlets 032B,E01032770,572,6,9,19,530,5,0,0
Tower Hamlets 032C,E01032772,544,15,30,29,457,0,3,0
Tower Hamlets 032D,E01032773,852,0,1,4,820,4,7,0
Tower Hamlets 032E,E01032774,583,6,6,37,518,3,1,1
Tower Hamlets 033A,E01004277,898,4,18,12,816,23,24,1
Tower Hamlets 033B,E01032771,546,3,5,9,514,4,7,2
Tower Hamlets 033C,E01032781,771,2,0,5,759,4,1,0
Tower Hamlets 033D,E01032782,776,5,4,15,739,1,5,2
Wandsworth 001A,E01004560,959,7,18,71,683,158,10,0
Wandsworth 001B,E01004566,821,3,32,60,607,102,10,1
Wandsworth 001C,E01004582,976,8,20,93,782,65,5,3
Wandsworth 001D,E01004583,876,5,32,110,691,17,16,5
Wandsworth 002B,E01004562,754,8,9,16,693,15,1,10
Wandsworth 002C,E01004563,879,7,3,9,808,24,2,1
Wandsworth 002D,E01004564,820,9,28,217,289,268,5,0
Wandsworth 002E,E01004567,982,6,6,14,926,6,4,0
Wandsworth 002F,E01033098,629,2,1,4,598,0,5,0
Wandsworth 002G,E01033100,612,2,4,31,419,119,19,0
Wandsworth 002H,E01033132,619,6,4,6,568,6,4,11
Wandsworth 003A,E01004539,800,9,50,29,664,17,5,0
Wandsworth 003B,E01004540,1002,9,33,157,557,177,62,0
Wandsworth 003C,E01004577,907,13,27,159,530,169,5,0
Wandsworth 003D,E01004584,703,2,7,5,671,7,3,0
Wandsworth 004B,E01004579,744,21,175,155,106,253,24,1
Wandsworth 004C,E01004580,892,7,18,96,650,68,43,1
Wandsworth 004D,E01004581,892,5,14,38,786,32,9,0
Wandsworth 004E,E01033099,456,1,12,22,399,10,6,6
Wandsworth 004F,E01033101,663,1,3,32,599,16,12,0
Wandsworth 004G,E01033133,636,0,2,5,615,6,4,1
Wandsworth 005A,E01004565,815,4,21,209,240,317,16,0
Wandsworth 005B,E01004590,807,24,47,456,230,45,5,0
Wandsworth 005C,E01004591,811,7,34,210,316,192,51,1
Wandsworth 005D,E01004592,795,21,32,509,84,135,3,0
Wandsworth 006A,E01004604,593,40,162,229,52,97,1,0
Wandsworth 006B,E01004605,785,12,91,284,295,90,13,0
Wandsworth 006C,E01004606,754,8,23,259,99,323,34,0
Wandsworth 006D,E01004607,718,15,153,212,114,177,22,1
Wandsworth 006E,E01004608,785,11,32,162,496,72,12,0
Wandsworth 007A,E01004535,731,2,4,16,684,3,3,0
Wandsworth 007B,E01004537,799,7,16,51,705,6,8,0
Wandsworth 007C,E01004538,909,4,23,110,756,7,2,1
Wandsworth 007D,E01004541,762,11,26,113,570,30,8,1
Wandsworth 008A,E01004534,825,12,47,475,156,84,20,0
Wandsworth 008B,E01004536,928,3,14,58,797,30,12,0
Wandsworth 008C,E01004552,913,7,17,144,126,456,150,0
Wandsworth 008D,E01004585,858,13,29,384,198,223,11,0
Wandsworth 008E,E01004588,858,3,12,278,91,404,43,1
Wandsworth 009A,E01004554,653,4,29,299,22,292,5,0
Wandsworth 009B,E01004556,590,6,85,322,17,156,4,0
Wandsworth 009C,E01004586,848,5,31,202,119,475,3,0
Wandsworth 009D,E01004587,735,4,39,325,53,293,1,0
Wandsworth 009E,E01004589,706,6,30,254,64,324,15,0
Wandsworth 010A,E01004509,1122,1,12,90,901,62,50,0
Wandsworth 010B,E01004511,712,9,73,196,95,298,18,0
Wandsworth 010C,E01004602,706,33,83,170,90,305,7,0
Wandsworth 010E,E01004609,996,6,44,216,265,306,152,0
Wandsworth 010F,E01033093,766,14,37,90,562,49,1,13
Wandsworth 010G,E01033135,475,2,23,190,117,133,8,0
Wandsworth 011A,E01004506,955,37,49,37,603,194,23,0
Wandsworth 011B,E01004638,519,191,151,95,26,55,1,0
Wandsworth 011C,E01004639,783,70,54,122,442,82,13,0
Wandsworth 011D,E01004640,797,35,163,90,337,156,4,0
Wandsworth 011E,E01004641,818,39,127,243,314,64,4,0
Wandsworth 012A,E01004508,986,17,95,102,196,503,60,0
Wandsworth 012B,E01004510,917,15,65,141,410,267,6,0
Wandsworth 012C,E01004514,799,14,47,389,204,116,10,0
Wandsworth 012D,E01004515,739,15,30,167,304,217,1,0
Wandsworth 012E,E01004551,884,1,11,66,501,267,33,0
Wandsworth 013A,E01004568,458,1,2,17,421,8,0,1
Wandsworth 013B,E01004574,727,10,7,34,656,3,2,0
Wandsworth 013C,E01004575,691,7,3,38,622,12,3,1
Wandsworth 013D,E01004576,592,94,22,106,361,7,0,0
Wandsworth 014A,E01004500,807,10,14,76,649,47,1,0
Wandsworth 014B,E01004501,712,35,39,119,415,89,0,0
Wandsworth 014C,E01004503,738,59,58,31,387,202,1,0
Wandsworth 014D,E01004505,838,22,34,37,628,112,0,0
Wandsworth 014E,E01004507,962,11,34,84,752,63,5,0
Wandsworth 015A,E01004553,766,11,53,229,145,318,10,0
Wandsworth 015B,E01004557,650,13,57,273,92,186,29,0
Wandsworth 015C,E01004558,675,25,69,231,104,201,35,0
Wandsworth 015D,E01004559,503,17,94,174,64,149,3,0
Wandsworth 015E,E01004619,536,67,188,45,128,108,0,0
Wandsworth 016A,E01004572,706,37,24,58,571,5,0,0
Wandsworth 016B,E01004642,761,17,73,324,300,27,0,0
Wandsworth 016C,E01004643,851,19,25,61,729,12,5,0
Wandsworth 016D,E01004644,870,84,85,379,312,6,1,0
Wandsworth 016E,E01004645,844,5,14,31,784,8,2,0
Wandsworth 017A,E01004477,607,23,165,280,38,97,0,0
Wandsworth 017B,E01004478,538,9,35,329,32,130,1,0
Wandsworth 017C,E01004479,613,20,143,154,114,157,6,0
Wandsworth 017D,E01004550,570,18,70,156,152,130,9,4
Wandsworth 017E,E01004555,587,9,34,403,17,105,2,0
Wandsworth 018A,E01004494,762,11,23,178,340,178,30,0
Wandsworth 018B,E01004513,833,4,25,88,643,65,3,0
Wandsworth 018C,E01004600,893,7,11,37,783,8,23,0
Wandsworth 018D,E01004601,1006,19,89,205,505,163,18,1
Wandsworth 019A,E01004493,803,18,33,300,121,317,12,0
Wandsworth 019B,E01004512,618,10,47,234,105,211,3,0
Wandsworth 019C,E01004620,702,13,65,201,122,293,7,0
Wandsworth 019D,E01004621,659,37,77,133,157,252,0,1
Wandsworth 019E,E01004623,712,9,52,331,92,221,1,1
Wandsworth 019F,E01004627,631,7,34,261,110,195,17,0
Wandsworth 020A,E01004499,713,18,49,122,225,286,3,0
Wandsworth 020B,E01004502,670,32,102,255,48,216,9,0
Wandsworth 020C,E01004504,566,56,171,90,155,86,3,0
Wandsworth 020D,E01004594,590,20,49,397,64,54,6,0
Wandsworth 020E,E01004596,646,5,53,389,50,113,31,0
Wandsworth 020F,E01004629,609,73,248,21,210,44,11,0
Wandsworth 021A,E01004472,742,19,53,366,124,175,4,1
Wandsworth 021B,E01004474,918,5,37,85,418,205,163,0
Wandsworth 021C,E01004476,824,5,26,85,562,99,26,0
Wandsworth 021D,E01004542,618,10,49,291,64,199,1,0
Wandsworth 021E,E01004544,606,25,39,252,51,224,6,0
Wandsworth 022A,E01004628,911,23,99,142,604,42,1,0
Wandsworth 022B,E01004630,679,23,25,47,571,12,0,0
Wandsworth 022C,E01004631,643,23,40,49,504,18,3,2
Wandsworth 022D,E01004633,623,8,11,21,576,7,0,0
Wandsworth 023A,E01004569,737,61,65,167,360,51,30,0
Wandsworth 023B,E01004570,745,4,7,22,697,13,2,0
Wandsworth 023C,E01004571,651,11,28,68,512,16,6,1
Wandsworth 023D,E01004573,631,33,57,145,377,16,3,0
Wandsworth 024A,E01004495,523,10,21,78,334,80,0,0
Wandsworth 024B,E01004496,951,19,35,179,386,232,91,1
Wandsworth 024C,E01004497,541,28,93,307,66,46,1,0
Wandsworth 024D,E01004622,533,4,23,62,372,58,10,0
Wandsworth 024E,E01004624,624,8,113,106,317,79,1,0
Wandsworth 025A,E01004593,852,7,44,231,333,219,14,0
Wandsworth 025B,E01004595,796,8,55,282,213,226,12,0
Wandsworth 025C,E01004597,779,10,20,366,285,94,4,0
Wandsworth 025D,E01004598,818,5,49,299,226,234,5,0
Wandsworth 025E,E01004599,575,5,20,424,54,69,3,0
Wandsworth 026A,E01004473,746,12,37,291,170,223,8,0
Wandsworth 026B,E01004475,622,13,111,95,90,299,8,0
Wandsworth 026C,E01004480,678,3,30,269,90,282,4,0
Wandsworth 026D,E01004483,1011,11,24,142,760,74,0,0
Wandsworth 026E,E01004484,652,8,71,108,194,267,0,1
Wandsworth 026F,E01004486,784,14,68,68,225,366,0,0
Wandsworth 027A,E01004543,717,35,133,145,158,198,30,0
Wandsworth 027B,E01004545,850,2,32,103,533,124,49,0
Wandsworth 027C,E01004546,640,7,44,189,198,197,3,0
Wandsworth 027D,E01004549,672,17,87,186,85,269,6,0
Wandsworth 027E,E01004625,469,17,196,227,6,22,1,0
Wandsworth 027F,E01004626,724,32,182,314,111,74,2,0
Wandsworth 028A,E01004632,593,34,21,166,332,40,0,0
Wandsworth 028B,E01004634,697,15,17,85,555,20,4,1
Wandsworth 028C,E01004635,691,20,48,197,403,21,1,1
Wandsworth 028D,E01004636,650,37,20,59,523,10,1,0
Wandsworth 028E,E01004637,602,29,77,40,450,6,0,0
Wandsworth 029A,E01004481,716,12,24,140,158,330,37,0
Wandsworth 029B,E01004488,625,9,58,174,58,289,9,2
Wandsworth 029C,E01004547,551,16,131,124,140,115,2,1
Wandsworth 029D,E01004548,1054,17,77,105,648,149,47,0
Wandsworth 030A,E01004482,626,14,46,234,151,147,3,0
Wandsworth 030B,E01004485,691,10,63,177,280,128,28,0
Wandsworth 030C,E01004487,715,6,24,119,82,439,1,0
Wandsworth 030D,E01004489,612,6,38,138,48,300,1,0
Wandsworth 031A,E01004490,614,1,30,315,147,106,14,1
Wandsworth 031B,E01004491,971,10,27,129,640,36,0,0
Wandsworth 031C,E01004492,744,12,33,323,308,45,20,1
Wandsworth 031D,E01004498,784,5,36,205,185,324,22,4
Wandsworth 032A,E01004532,644,8,54,255,114,187,12,0
Wandsworth 032B,E01004611,570,26,59,344,88,30,20,0
Wandsworth 032C,E01004612,558,23,109,266,87,40,30,0
Wandsworth 032D,E01004618,527,17,51,320,59,72,3,0
Wandsworth 033A,E01004531,649,40,82,469,22,35,1,0
Wandsworth 033B,E01004533,569,21,62,413,20,42,10,0
Wandsworth 033C,E01004610,632,25,140,300,100,59,6,0
Wandsworth 033D,E01004613,677,35,59,319,84,118,54,0
Wandsworth 034A,E01004614,855,36,68,288,200,255,6,0
Wandsworth 034B,E01004615,757,19,17,142,522,39,12,0
Wandsworth 034C,E01004616,816,21,37,177,124,417,10,0
Wandsworth 034D,E01004617,638,13,40,231,264,51,31,0
Wandsworth 035A,E01004525,659,18,46,195,180,155,65,0
Wandsworth 035B,E01004526,655,20,42,102,269,209,13,0
Wandsworth 035C,E01004527,578,21,47,313,57,134,4,0
Wandsworth 035D,E01004528,655,13,51,194,345,29,23,0
Wandsworth 035E,E01004529,902,21,63,168,366,248,29,0
Wandsworth 035F,E01004530,789,23,68,224,165,287,4,0
Wandsworth 036A,E01004516,510,20,161,241,13,68,7,0
Wandsworth 036B,E01004518,650,9,93,271,108,157,7,0
Wandsworth 036C,E01004519,632,27,116,296,129,62,0,0
Wandsworth 036D,E01004520,459,15,56,266,81,38,3,0
Wandsworth 036E,E01004523,722,48,130,111,326,103,0,0
Wandsworth 037A,E01004517,810,20,84,210,133,293,37,0
Wandsworth 037B,E01004521,768,37,58,363,152,156,2,0
Wandsworth 037C,E01004522,628,16,69,212,106,202,21,0
Wandsworth 037D,E01004524,774,9,12,50,650,46,3,0
Westminster 001A,E01004647,685,45,65,86,450,24,11,0
Westminster 001B,E01004649,716,41,55,86,512,18,4,0
Westminster 001C,E01004724,850,5,10,43,681,45,60,0
Westminster 001D,E01004730,804,5,15,16,733,31,4,0
Westminster 002A,E01004646,616,100,143,40,243,86,2,0
Westminster 002B,E01004648,1122,59,81,101,552,296,27,0
Westminster 002C,E01004650,932,30,58,106,397,311,10,0
Westminster 002D,E01004710,635,7,11,32,527,38,2,0
Westminster 002E,E01004711,759,6,5,15,582,134,1,0
Westminster 003A,E01004651,1137,17,20,10,1060,27,3,0
Westminster 003B,E01004725,799,5,3,3,765,9,8,0
Westminster 003C,E01004726,824,67,57,36,629,33,2,0
Westminster 003D,E01004728,808,4,5,33,724,36,1,0
Westminster 003E,E01004729,856,12,17,33,765,19,3,1
Westminster 004A,E01004718,850,28,54,200,185,360,3,0
Westminster 004B,E01004719,786,45,50,443,109,133,3,0
Westminster 004C,E01004720,777,41,33,477,192,20,9,0
Westminster 004D,E01004721,879,32,34,210,400,151,35,0
